Ultralytics 8.3.105 🚀 Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)
video 1/1 (frame 222/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.1ms
video 1/1 (frame 223/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 224/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 225/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.3ms
video 1/1 (frame 226/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 227/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.9ms
video 1/1 (frame 228/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 229/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.1ms
video 1/1 (frame 230/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 231/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 232/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 233/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 234/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 235/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 1 Yes, 8.1ms
video 1/1 (frame 236/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 1 Yes, 7.9ms
video 1/1 (frame 237/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 238/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 239/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 240/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.4ms
video 1/1 (frame 241/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 242/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 7.9ms
video 1/1 (frame 243/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 10.4ms
video 1/1 (frame 244/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 245/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 9.2ms
video 1/1 (frame 246/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.6ms
video 1/1 (frame 247/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.3ms
video 1/1 (frame 248/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 249/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 250/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.4ms
video 1/1 (frame 251/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 252/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 253/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 254/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 255/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 256/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 257/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 258/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 11.8ms
video 1/1 (frame 259/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.9ms
video 1/1 (frame 260/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.7ms
video 1/1 (frame 261/615) /content/test/capstone (1).mp4: 384x640 1 No, 10.0ms
video 1/1 (frame 262/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.4ms
video 1/1 (frame 263/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.3ms
video 1/1 (frame 264/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.0ms
video 1/1 (frame 265/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.6ms
video 1/1 (frame 266/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.3ms
video 1/1 (frame 267/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.6ms
video 1/1 (frame 268/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.0ms
video 1/1 (frame 269/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.3ms
video 1/1 (frame 270/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.1ms
